Entities,neg,pos,neu,Count,Category
Hodges,0,0,1,1,ORGANIZATION
Arun Daniel,0,1,0,1,PERSON
JO Hambro Capital Management,0,0,1,1,ORGANIZATION
Mark Butler,0,0,1,1,PERSON
Alden Bentley,0,0,1,1,PERSON
Cynthia Osterman,0,0,4,4,PERSON
Jan Wolfe,1,0,0,1,PERSON
Gilead Sciences,1,0,0,1,ORGANIZATION
Memorial Sloan Kettering Cancer Center,1,0,0,1,ORGANIZATION
New York City,1,0,0,1,LOCATION
Patent Trial and Appeal Board,1,0,0,1,ORGANIZATION
Kite Pharma Inc,1,0,0,1,ORGANIZATION
Kettering,1,0,0,1,LOCATION
Westlaw,0,0,1,1,ORGANIZATION
Kim Yong,0,0,1,1,PERSON
Brendan McDermid,0,1,2,3,PERSON
Uber Technologies Inc,0,2,0,12,ORGANIZATION
Honolulu Star-Advertiser,0,2,0,6,ORGANIZATION
Honolulu,0,0,2,4,LOCATION
Brendan O'Brien,0,0,3,5,PERSON
Lyft Uber,0,0,2,4,ORGANIZATION
Taipei,0,2,2,6,LOCATION
Taiwan,2,0,3,40,LOCATION
Tyrone Siu,0,2,2,5,PERSON
Hawaii,2,2,0,4,LOCATION
Honolulu City Council,0,0,2,2,ORGANIZATION
Kirk Caldwell,2,0,0,2,PERSON
Department of Customer Service,2,0,0,2,ORGANIZATION
City,2,0,0,2,LOCATION
Tabatha Chow,2,0,0,2,PERSON
Milwaukee,0,0,3,3,LOCATION
Catherine Evans,0,0,4,4,PERSON
AMP Ltd,1,1,0,9,ORGANIZATION
New Zealand,0,0,2,7,LOCATION
S&P/ASX 200,0,0,1,2,ORGANIZATION
BHP Billiton,0,1,0,2,ORGANIZATION
