Entities,neg,pos,neu,Count
"June 6, 2018",0,4,9,26
Jared Kushner,2,7,3,26
AWR Hawkins,2,6,2,26
tweeted,2,6,4,26
Egyptian,5,3,3,26
presidents,9,8,9,26
Ali Bashar,3,0,1,26
James Mattis,1,5,5,26
International Monetary Fund,2,1,7,26
Hong Kong,4,3,9,26
Domestic Energy Producers Alliance,0,0,1,26
Judith Acosta,1,0,0,26
Mars,0,1,1,26
"Sunday, 10 June 2018",2,5,18,26
Abiy Ahmed,1,0,1,25
Instagram,2,12,4,25
Paris,6,4,9,25
Department of Justice,7,2,1,25
CIA,3,6,9,25
Trump Tower,2,4,4,25
Debbie Wasserman Schultz,2,0,1,25
Obama Associate Rashid Khalidi,0,0,1,25
Kevin O'Leary,1,0,0,25
Boris Johnson,2,1,1,24
México,4,3,4,24
October,9,3,9,24
June,6,2,12,24
two months,2,10,9,24
West Bank,2,3,6,24
Hill,2,2,7,24
"June 7, 2018",3,5,10,24
Amazon,5,1,6,24
Army,3,4,5,24
Marsha Blackburn,0,1,1,24
G-7,3,4,3,24
attorney general,6,6,12,24
Leopoldo López,0,2,1,24
Yahya Jammeh,3,0,0,24
Cable News Network,12,0,0,24
Chicago Mercantile Exchange Inc.,0,3,9,24
FactSet Research Systems Inc.,0,0,12,24
"Morningstar, Inc.",0,0,12,24
Elvis,0,2,0,24
Oscar Morales Flores,1,0,0,24
Ovidio García Suárez,2,0,0,24
Bradley Cooper,0,4,0,23
Colombia,3,2,5,23
jueves,2,3,10,23
Kim Kardashian West,1,4,2,23
Labour,1,3,3,23
Mali,4,1,3,23
Manhattan,8,4,3,23
New Jersey,1,5,4,23
Washington Post,1,9,7,23
Mrs.,5,17,1,23
ABC,3,6,3,23
Donald Trump Jr.,1,0,1,23
Ralph Peters,1,0,1,23
Chairman,8,4,11,23
Susanna Maria Feldman,3,0,0,23
Michelle Wolf Rips,0,1,0,23
Adama Barrow,2,1,1,23
John Zhang,0,0,1,23
OneWest Bank,2,0,0,23
"Saturday, 9 June 2018",1,3,17,23
England,7,2,5,22
EPA,3,6,3,22
July,10,7,4,22
